"","DGS_1","DGS_2","DGS_3","DGS_4","DGS_5","DGS_6","DGS_7","DGS_8","DGS_9","DGS_10","DGS_11","DGS_12","DGS_13","DGS_14","DGS_15","DGS_16","DGS_17","DGS_18","DGS_19","DGS_20","DGS_21","DGS_22","DGS_23","DGS_24","DGS_25","DGS_26","DGS_27","DGS_28","DGS_29","DGS_30","DGS_32","DGS_33","DGS_34","DGS_35","DGS_36","DGS_37","DGS_38","DGS_39","DGS_40","DGS_41","DGS_42","DGS_43","DGS_44","DGS_45","DGS_46","DGS_47","DGS_48","DGS_49","DGS_50","DGS_51","DGS_52","DGS_54","DGS_55","DGS_56","DGS_57","DGS_58","DGS_59","DGS_60","DGS_61","DGS_62","DGS_63","DGS_64","DGS_65","DGS_66","DGS_67","DGS_68","DGS_69","DGS_70","DGS_71","DGS_72","DGS_73","DGS_74","DGS_75"
"11",6,3,7,6,6,4,5,6,6,7,1,6,3,3,6,2,6,6,6,5,6,5,7,3,6,5,6,3,5,7,5,7,7,2,6,5,2,3,2,5,7,7,7,7,7,7,2,5,6,6,1,7,4,5,7,7,3,6,7,5,7,5,4,2,7,2,7,7,1,7,3,7,6
"12",5,4,7,5,4,1,3,5,6,7,4,6,4,1,6,4,6,4,4,5,5,5,4,4,4,4,6,4,5,5,6,6,5,4,5,5,1,2,7,6,6,4,5,7,7,5,4,6,4,6,6,7,6,4,5,6,4,5,5,4,7,5,4,4,7,3,7,2,1,7,3,7,5
"13",1,7,7,6,7,5,6,7,7,7,1,6,6,2,5,1,5,5,3,2,3,1,3,5,6,7,7,1,7,6,5,6,7,5,5,5,2,1,1,6,2,1,6,1,7,5,1,5,7,7,7,7,3,5,6,7,1,6,7,7,7,5,1,3,5,6,7,2,1,3,7,7,5
"14",2,4,6,6,3,1,2,6,6,6,6,6,2,3,6,3,6,5,5,4,3,6,4,2,4,7,5,3,6,5,5,6,6,2,5,5,1,2,5,6,2,7,6,4,6,7,6,4,6,7,4,7,5,2,5,6,1,5,5,4,6,4,3,6,5,2,7,6,1,5,1,7,5
"15",5,5,7,6,3,1,3,5,6,5,3,6,3,1,5,1,6,3,5,3,5,5,3,5,3,4,5,2,4,5,6,6,7,2,6,4,1,1,5,3,5,6,5,6,6,6,3,5,6,6,5,7,4,5,5,5,3,5,5,3,7,3,5,4,2,3,5,3,2,6,5,5,5
"16",6,5,6,6,7,4,5,7,7,7,6,6,6,2,6,2,6,5,5,3,7,6,4,4,5,7,6,2,7,5,6,6,6,4,6,5,4,1,4,4,3,6,7,2,7,7,3,5,4,7,6,7,5,5,6,7,5,6,6,3,6,5,6,6,5,2,7,1,2,4,7,7,5
"17",5,3,7,6,7,3,6,7,6,6,3,6,7,6,6,6,5,6,5,5,7,6,7,5,6,6,5,3,4,6,5,7,6,5,6,6,2,4,5,6,6,7,7,6,6,6,2,4,7,7,4,7,5,6,7,7,4,7,6,6,7,4,5,5,6,3,7,2,2,7,2,6,4
"18",6,3,7,6,5,3,4,5,6,7,2,7,4,3,6,2,7,6,6,6,5,6,6,5,5,6,7,4,6,6,7,6,7,5,7,5,2,4,4,6,6,2,7,6,7,6,2,6,5,7,6,7,6,6,7,7,6,7,7,4,6,5,4,4,7,3,5,4,2,6,3,7,6
"19",3,1,5,6,5,1,3,6,5,6,2,6,6,4,5,3,5,5,5,3,6,6,3,4,5,6,4,2,1,5,5,6,5,2,5,5,2,1,5,3,2,5,7,3,4,7,1,4,5,6,1,6,2,5,5,5,2,5,6,3,5,3,7,6,1,5,6,2,2,5,5,6,5
"20",2,3,3,6,2,6,5,2,3,3,2,6,2,2,6,2,6,5,6,6,2,6,2,5,6,2,6,6,6,5,5,6,6,5,5,6,2,6,6,2,6,6,2,3,6,3,5,6,2,2,5,2,6,5,6,5,6,6,6,2,6,5,2,2,6,6,2,2,2,3,2,6,6
"21",1,4,4,4,6,2,2,5,6,6,4,5,5,2,5,3,3,4,2,3,1,4,6,4,4,5,5,1,4,5,2,5,5,2,3,4,2,2,5,7,5,4,2,6,4,4,2,3,6,5,4,7,4,3,5,5,2,4,5,4,4,2,1,3,5,3,4,4,2,5,4,4,3
"22",2,5,6,6,5,1,4,5,5,6,3,6,4,4,5,3,5,3,5,5,4,4,5,6,4,4,3,3,3,5,5,5,6,2,4,4,2,1,5,6,2,4,7,5,4,5,3,5,3,4,3,5,4,3,5,5,3,5,5,4,5,3,4,5,5,3,6,4,3,5,7,6,5
"23",3,2,6,6,5,3,7,5,7,4,3,6,5,3,5,3,5,5,5,5,5,6,2,5,5,4,5,3,6,6,5,6,7,3,6,6,2,5,5,5,5,5,4,6,6,5,2,6,3,6,5,7,5,5,6,6,5,7,7,3,6,5,3,4,5,4,6,5,2,5,3,6,6
"24",6,6,7,4,5,3,6,5,6,6,6,5,7,5,6,5,6,5,5,4,5,5,2,3,5,5,5,4,3,5,6,6,7,2,5,5,1,3,5,6,6,6,5,7,6,5,4,5,4,6,3,5,6,4,7,7,4,6,6,4,7,5,5,5,5,3,6,3,3,5,6,7,4
"25",4,7,6,4,5,3,5,6,6,7,7,6,4,3,6,2,6,6,6,3,6,5,6,3,5,6,7,5,5,4,5,7,5,5,6,7,4,3,5,4,7,3,5,5,6,7,4,6,4,7,4,5,4,5,7,6,6,5,6,4,6,4,4,5,6,5,5,5,3,4,5,6,3
"26",3,2,2,4,5,1,1,3,5,3,2,4,3,1,4,3,5,2,2,2,2,5,2,1,2,3,1,1,1,3,4,4,7,2,3,3,1,1,3,3,3,4,1,2,1,4,1,4,4,6,1,3,2,3,2,6,1,5,4,1,5,1,1,2,3,1,3,1,1,2,2,4,2
"27",5,2,6,5,3,1,1,6,5,5,2,5,5,3,4,2,5,4,4,1,3,5,2,4,4,4,1,1,3,4,4,5,5,1,4,3,1,1,5,5,4,6,6,4,2,6,2,3,4,6,1,6,2,3,5,6,2,4,5,4,5,2,2,3,4,1,4,3,1,5,7,5,4
"28",4,4,4,4,7,4,7,4,4,7,4,4,7,4,7,4,7,7,4,6,4,4,6,5,7,6,4,4,4,7,7,7,4,4,7,7,4,4,7,7,5,7,7,4,7,4,4,7,4,4,4,7,4,7,7,7,4,4,7,1,6,4,4,4,4,4,6,4,4,4,7,7,5
"29",5,2,6,4,6,3,3,6,7,7,3,5,5,3,6,7,5,6,6,4,3,5,1,5,6,6,1,2,5,6,7,6,6,2,5,3,4,3,6,7,7,7,6,7,6,7,2,4,7,7,3,6,5,6,7,7,3,5,6,6,7,3,1,5,7,2,6,3,4,4,2,6,3
"30",1,3,7,6,7,1,5,7,5,7,2,6,6,7,7,3,6,4,4,2,6,7,6,2,4,7,5,1,4,4,6,5,5,4,4,5,4,1,7,7,7,4,7,3,5,5,2,4,5,4,3,7,6,4,7,7,1,1,4,4,7,5,3,6,4,1,7,3,1,7,2,7,4
"31",7,5,6,4,5,3,6,5,5,7,5,6,6,5,6,2,5,5,4,1,6,3,6,4,4,7,3,2,2,6,5,6,2,2,6,6,3,3,5,7,6,6,7,7,5,6,3,5,7,4,1,6,7,5,6,7,2,6,7,5,7,5,7,4,5,2,7,3,2,7,5,7,5
"32",6,5,7,6,7,5,6,7,2,7,2,7,7,5,7,2,7,4,3,1,6,5,7,7,4,7,1,6,6,7,7,7,7,5,7,6,1,5,7,5,7,5,7,6,7,6,3,5,5,2,2,7,5,5,7,7,6,7,7,4,7,5,6,5,7,6,7,6,2,7,1,7,7
"33",2,3,6,5,7,2,4,6,5,7,4,5,2,2,6,7,5,6,5,2,4,5,6,3,6,7,5,3,4,5,6,7,6,2,4,6,3,3,6,7,6,3,3,6,6,6,3,4,3,5,4,6,6,4,6,6,4,5,5,6,6,5,4,4,5,2,6,6,3,7,1,6,4
"34",4,6,6,4,6,4,5,6,6,6,5,6,5,4,6,3,6,6,5,3,5,6,6,4,4,6,5,4,5,6,6,6,5,4,6,5,4,3,4,6,6,6,6,6,5,5,4,4,5,5,4,5,5,4,6,6,4,4,6,4,5,4,5,5,4,4,6,6,3,6,6,6,5
"35",5,3,2,6,6,1,1,5,2,6,1,6,2,5,5,5,1,1,3,1,3,1,2,1,3,7,2,1,1,1,5,6,5,1,5,5,1,1,2,6,3,5,5,1,4,3,1,3,3,2,1,6,4,4,4,6,2,5,2,1,5,1,3,3,1,1,7,1,1,7,2,7,6
"36",2,1,3,7,6,3,7,7,6,7,1,7,5,6,6,2,6,3,7,6,2,6,3,1,2,5,2,1,6,2,5,6,7,6,6,7,1,2,7,6,6,4,2,2,6,6,5,5,3,6,3,7,7,6,6,6,2,4,6,1,6,7,3,3,5,6,6,1,2,5,5,5,7
"37",3,4,7,5,5,2,3,5,5,6,3,6,5,2,5,2,6,5,5,2,6,6,4,4,5,6,5,2,6,5,6,5,5,4,6,3,2,2,4,6,6,4,6,3,7,6,3,4,3,5,6,6,6,5,7,6,5,5,6,4,7,3,6,6,6,3,6,2,1,6,4,6,5
"38",5,5,6,3,7,4,3,5,5,6,4,6,6,3,6,2,4,4,4,4,5,5,6,4,3,6,6,3,5,4,5,5,1,1,3,4,2,6,4,7,6,5,6,6,4,6,5,4,6,6,5,6,6,3,6,6,2,4,4,6,6,4,4,4,6,3,6,6,4,4,2,6,4
"39",4,3,3,5,6,2,4,5,7,6,3,6,2,3,5,2,5,2,4,2,4,5,2,5,2,4,6,5,5,5,6,5,6,3,6,6,2,1,4,7,6,5,3,6,5,6,1,3,5,6,5,7,6,4,4,6,2,6,4,4,5,3,3,4,3,2,6,4,3,7,7,6,4
"40",3,4,5,3,5,4,4,5,5,5,2,5,4,5,4,4,5,3,4,3,4,5,3,4,4,5,4,3,4,4,4,5,3,3,4,4,5,2,4,5,4,4,4,5,4,5,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,3,4,4,6,4,5,2,4,5,4,3,4
"41",5,3,5,5,6,2,3,5,6,6,3,6,5,3,5,3,5,5,4,3,5,6,5,3,5,5,6,3,6,6,6,6,6,3,6,5,2,2,6,5,5,5,6,7,7,6,2,5,3,5,6,6,3,3,6,6,3,6,5,6,6,3,5,6,6,2,6,3,2,6,3,6,6
"42",4,6,3,5,5,1,1,5,5,5,4,5,3,1,4,4,4,4,2,1,5,5,6,2,3,5,3,1,2,4,4,4,4,1,5,4,2,2,4,6,2,5,5,4,4,6,1,2,4,4,2,7,3,3,4,5,2,4,4,4,5,2,4,4,4,2,6,3,2,5,1,6,4
"43",2,3,2,7,2,6,6,2,3,2,2,7,5,3,6,2,6,5,5,5,3,5,2,5,6,6,6,5,5,5,6,5,6,5,6,6,5,4,7,4,6,6,7,3,6,2,6,7,3,2,5,7,6,6,7,5,5,6,7,5,7,6,3,2,5,7,3,2,1,3,2,6,6
"44",2,3,6,3,5,5,3,7,6,7,3,5,5,3,6,2,6,5,5,6,5,5,3,6,6,6,6,6,7,6,6,7,6,6,6,7,3,4,7,6,2,7,7,6,7,5,2,3,4,5,6,7,5,3,7,6,3,7,7,6,4,4,3,5,7,6,7,3,3,6,3,3,3
"45",3,3,4,5,5,4,4,4,5,6,3,5,5,3,6,4,5,5,6,4,5,4,4,4,4,5,6,4,4,4,5,6,5,5,5,4,2,3,5,5,5,4,5,4,6,3,3,4,5,6,5,4,6,5,6,7,4,6,5,4,7,3,5,4,4,3,5,4,2,4,5,6,4
"46",5,2,6,4,6,3,2,5,6,7,2,5,5,3,6,3,5,5,4,3,4,5,6,3,4,6,5,2,5,5,2,5,5,1,3,3,2,1,5,6,5,5,7,6,7,5,2,3,5,6,6,7,5,3,6,6,2,5,5,5,5,1,3,3,6,2,6,5,1,5,3,7,4
"47",6,4,5,6,4,1,4,4,4,6,4,6,5,2,7,3,6,6,6,5,7,6,5,4,4,5,5,1,2,5,6,6,6,1,6,6,1,1,6,6,6,6,6,4,4,6,1,5,6,4,2,4,7,5,6,6,4,6,7,3,7,4,4,5,6,1,7,6,1,6,3,7,7
"48",7,1,7,5,5,1,1,5,1,7,1,7,1,2,5,3,5,1,4,1,7,4,7,1,4,6,1,1,1,4,4,1,7,1,1,4,1,1,1,7,1,4,7,3,2,7,1,1,6,2,1,7,3,3,3,6,1,1,6,4,6,1,1,4,4,1,7,1,1,4,1,7,4
"49",6,6,2,2,6,2,4,6,2,6,6,6,6,6,6,2,6,6,5,1,6,6,6,2,6,6,6,2,2,4,2,6,6,2,6,6,2,2,6,6,2,6,6,6,2,6,2,6,6,6,2,6,4,6,6,6,2,6,6,2,6,2,6,6,6,2,5,6,2,2,2,6,6
"50",6,4,6,6,6,2,3,6,6,7,3,6,5,4,6,2,5,6,5,3,6,5,7,5,5,6,5,3,6,6,7,6,6,4,7,5,3,3,7,6,6,4,7,6,6,7,2,3,7,7,5,5,3,4,6,7,3,6,6,4,5,5,6,5,6,5,7,4,3,6,3,7,6
"51",6,2,4,5,7,1,1,4,4,5,1,4,2,3,5,4,4,2,5,3,4,3,6,2,2,5,2,1,2,5,2,4,4,1,4,4,3,1,4,5,6,4,6,4,3,6,1,2,6,6,2,6,4,2,2,3,1,5,2,4,4,2,2,6,1,4,7,3,6,4,1,5,2
"52",5,3,6,4,7,5,5,5,7,7,3,6,7,5,7,2,6,6,6,2,6,6,5,5,5,6,5,2,7,7,7,6,5,3,5,6,4,5,6,7,5,6,7,6,6,6,2,5,3,7,5,7,6,6,7,7,5,6,6,4,6,5,5,5,6,2,7,4,3,6,4,7,5
"53",5,7,7,5,7,3,7,7,7,7,7,7,2,5,6,3,7,6,7,2,6,6,7,2,6,7,5,3,6,7,7,7,7,4,7,7,2,7,2,6,6,2,7,7,6,6,4,6,3,3,6,7,6,4,7,7,6,6,7,6,5,5,6,7,7,3,7,6,2,7,2,7,6
"54",3,6,2,5,4,5,3,6,6,3,2,6,3,4,5,2,6,5,6,4,3,5,3,2,3,5,5,5,2,5,6,5,5,5,6,5,2,3,4,3,4,5,6,4,5,4,5,5,3,6,2,6,5,5,5,6,1,4,4,3,5,6,3,3,4,2,4,5,2,2,2,5,6
"55",3,2,2,6,5,3,4,4,6,6,2,6,3,2,6,4,5,5,5,5,6,6,4,2,6,6,6,1,2,5,5,6,7,1,5,5,1,2,6,5,3,6,6,4,6,5,2,5,3,5,2,7,5,5,6,6,2,6,6,2,6,3,6,5,5,2,6,2,1,5,1,7,5
"56",4,4,7,6,6,2,5,6,6,7,3,7,6,2,7,2,7,7,7,7,4,7,1,7,6,7,7,4,5,7,7,7,7,4,7,7,1,2,7,6,4,7,6,2,7,7,4,6,6,7,2,7,6,6,7,7,2,7,7,4,5,5,2,7,5,6,7,2,1,4,6,6,7
"57",5,2,3,3,4,3,5,4,3,4,2,4,2,3,4,4,4,4,4,4,3,5,1,4,5,4,3,5,4,4,4,5,5,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,3,6,4,4,5,5,4,4,4,6,5,5,5,4,5,4,4,4,4,4,4,3,4,4
"58",2,2,3,4,3,4,2,4,3,4,2,5,6,4,4,4,4,6,4,5,5,4,4,4,5,4,3,5,6,4,6,4,5,4,6,5,4,4,5,6,4,4,6,5,6,2,4,5,4,4,4,7,2,4,6,4,5,6,6,4,4,4,3,3,6,5,4,3,4,4,2,5,4
"59",4,3,6,5,6,4,4,5,6,6,2,6,4,3,6,2,5,5,5,4,1,5,4,3,5,5,5,2,5,5,5,5,7,2,6,3,4,4,5,5,4,6,6,6,6,6,2,4,5,4,6,5,5,5,6,6,4,5,6,4,6,4,1,2,6,3,6,5,3,5,2,5,5
"60",5,3,4,4,4,2,4,5,5,6,3,7,3,5,5,3,4,5,5,5,4,4,6,2,4,5,5,3,5,4,5,4,5,5,5,4,4,2,3,6,5,3,5,3,5,5,3,5,5,5,4,6,5,5,5,5,3,5,4,4,5,4,5,3,3,3,5,3,3,5,5,5,4
"61",3,5,5,5,5,3,4,5,7,6,4,6,3,5,5,2,7,5,5,6,5,7,3,4,5,5,7,3,7,5,6,7,5,7,5,5,1,3,5,5,6,5,5,3,6,5,5,5,3,6,5,7,7,5,7,7,5,5,5,1,7,6,5,3,4,3,5,3,1,3,2,5,7
"62",4,2,4,5,4,3,5,5,5,4,3,4,4,3,4,3,5,4,4,5,5,4,3,4,5,4,5,5,7,5,5,5,6,5,5,4,3,4,4,3,3,6,5,4,5,4,3,5,3,4,5,7,3,4,5,6,4,5,5,4,5,4,3,2,5,5,5,3,3,4,3,5,3
"63",2,6,5,5,5,3,5,6,5,4,3,6,6,4,6,2,4,4,5,5,3,5,6,4,4,4,6,3,6,6,5,5,5,2,4,5,3,3,6,6,6,5,5,5,6,6,6,5,3,6,6,6,4,3,6,6,3,4,5,6,6,4,3,2,6,5,5,3,4,6,5,6,3
"64",7,6,7,4,5,6,6,7,7,7,3,6,6,4,7,3,6,6,4,5,5,3,7,7,4,7,7,6,7,7,7,6,6,7,7,6,2,5,6,7,7,7,7,7,7,7,3,4,7,7,7,7,5,7,7,7,4,7,7,6,6,5,5,3,7,5,7,3,3,7,3,7,3
"65",6,2,4,4,7,4,2,5,4,6,3,4,6,4,4,4,2,5,4,4,4,6,4,4,4,6,4,4,2,4,5,6,4,4,4,4,1,4,5,7,6,5,4,3,4,4,4,4,4,4,4,5,4,4,5,4,3,4,4,3,6,5,5,4,4,4,6,4,4,7,2,3,4
"66",2,3,4,6,4,2,5,4,3,4,3,6,2,5,5,4,4,5,5,3,4,5,4,3,5,3,4,4,2,4,4,5,6,4,4,5,3,4,6,3,5,5,3,3,4,4,3,5,6,4,4,5,4,4,5,7,4,5,6,4,6,3,3,2,4,4,3,3,2,3,4,5,6
"67",2,2,6,5,3,3,2,4,4,4,1,6,1,1,5,4,5,5,4,2,3,5,5,1,4,4,5,2,4,6,5,6,6,4,4,4,3,4,5,5,5,5,5,4,4,3,1,5,3,5,3,6,6,2,5,5,3,3,5,4,5,3,3,2,6,1,4,3,3,4,1,6,4
"69",5,7,7,2,6,1,7,7,5,7,7,6,7,4,6,1,6,4,5,1,7,5,3,3,3,7,6,5,1,5,6,6,3,1,7,5,1,1,5,6,6,5,7,1,4,7,2,6,1,7,2,7,5,5,7,6,4,5,6,2,7,7,6,3,3,2,7,3,2,6,5,6,4
"70",5,5,6,5,6,3,5,6,7,7,6,6,6,6,6,3,5,6,5,3,7,6,7,4,6,6,5,1,5,5,7,3,5,5,5,5,1,2,6,6,5,5,6,1,6,6,3,5,1,4,2,6,6,6,6,7,5,6,6,1,6,5,5,6,5,1,4,2,2,6,6,7,5
"71",7,6,1,5,6,2,2,6,7,7,2,7,2,4,7,2,6,2,5,6,7,6,5,2,4,7,6,4,6,3,7,6,6,2,6,4,1,2,3,4,2,7,7,4,6,6,6,1,7,7,6,7,2,3,6,7,3,6,6,4,7,7,7,7,6,1,7,2,3,6,1,7,6
"72",3,6,6,5,6,5,5,6,6,7,6,7,5,6,6,5,7,6,5,7,3,6,5,5,6,6,5,5,5,6,6,6,6,5,6,6,3,5,5,7,6,4,5,6,7,6,5,6,3,6,5,7,7,6,7,6,7,5,6,4,5,6,3,5,4,5,6,3,3,6,5,7,5
"73",4,5,5,6,6,5,6,5,6,4,3,6,4,4,6,2,5,6,5,5,3,6,4,4,5,6,6,2,6,5,6,6,7,3,6,5,2,4,5,5,4,4,5,4,7,5,5,5,6,5,5,6,6,5,6,6,5,6,7,4,6,4,3,5,7,2,6,3,3,6,4,6,5
"75",5,3,5,5,6,4,5,5,6,7,2,6,7,5,7,6,7,5,7,6,7,5,2,7,5,6,6,6,7,7,7,7,7,7,5,6,4,5,7,7,4,7,7,2,7,7,3,5,3,7,7,6,6,6,7,7,5,7,7,5,6,4,6,5,5,7,7,2,4,7,1,7,6
"76",2,2,7,5,6,3,7,5,5,5,4,5,5,5,4,3,6,5,5,5,3,5,4,5,6,6,5,4,6,6,5,6,7,6,5,5,2,2,5,5,5,4,2,5,5,3,3,5,2,5,6,7,7,5,5,7,5,7,5,3,5,5,2,3,5,2,6,3,2,6,4,6,5
"77",7,4,7,4,6,2,4,6,5,7,6,4,7,5,5,7,4,6,3,1,6,3,7,4,5,6,5,1,3,5,5,6,5,3,5,5,3,3,5,7,5,2,7,6,4,6,1,5,7,5,1,5,3,6,6,7,2,6,7,7,7,5,6,7,4,2,7,7,2,7,6,7,5
"78",4,4,6,4,5,4,4,6,6,7,5,5,5,4,5,4,5,6,5,4,4,4,5,4,4,5,5,3,3,5,5,5,5,3,5,4,1,3,4,5,5,5,7,7,5,6,3,5,6,6,4,7,5,3,5,5,5,5,4,4,5,4,4,4,7,4,6,7,3,5,3,5,4
"79",4,3,2,3,5,1,2,6,5,6,2,5,2,1,5,3,4,5,5,2,2,4,3,2,3,7,2,2,4,4,4,5,6,3,4,5,1,1,5,7,4,5,2,3,5,6,2,2,7,4,4,7,4,2,6,5,1,6,6,2,4,3,2,6,2,2,5,3,1,6,7,5,2
"80",2,2,6,5,7,3,3,6,7,7,7,6,6,1,5,4,6,5,5,4,6,6,4,4,3,7,6,4,3,5,5,6,5,2,5,5,3,2,6,6,5,6,6,5,6,6,3,3,4,7,5,7,3,5,6,7,4,4,7,4,7,3,6,5,2,4,6,4,2,6,2,7,5
"81",7,7,7,7,7,4,4,7,7,7,7,7,4,7,7,6,7,7,7,3,7,5,7,2,5,7,7,2,7,7,7,7,7,2,7,5,4,2,7,7,2,7,7,4,7,7,4,4,6,7,6,7,7,7,7,7,3,7,7,4,7,7,7,7,7,4,7,3,4,2,7,7,6
"82",4,4,4,4,3,3,3,5,5,5,3,5,3,6,4,4,4,4,4,3,4,4,5,4,4,5,3,3,5,5,4,5,5,4,3,4,3,3,6,5,6,5,5,4,5,3,5,4,5,4,4,7,4,5,6,6,3,5,4,4,5,4,3,3,5,3,5,4,4,6,5,6,4
"83",5,3,6,5,6,2,3,6,3,6,3,5,5,2,6,2,5,5,5,5,6,5,2,4,5,6,3,2,3,3,5,5,5,2,6,3,2,2,5,5,2,3,6,3,5,5,3,2,6,5,3,5,2,3,6,6,3,5,6,5,6,3,6,6,3,3,6,3,2,3,2,5,5
"84",3,6,7,5,5,4,6,6,6,6,6,6,5,5,6,2,6,6,6,4,5,6,6,4,6,6,5,4,4,5,6,6,6,4,6,5,4,5,5,6,6,6,7,4,5,7,4,5,5,6,5,7,6,5,6,6,5,6,6,5,6,5,6,5,5,3,7,5,4,5,5,6,5
"85",2,2,7,5,5,5,4,5,7,6,2,5,4,3,5,3,5,4,4,2,6,4,4,3,5,5,6,4,7,4,5,5,7,2,5,5,2,2,7,3,4,5,7,3,6,7,2,5,4,7,7,6,4,6,5,7,4,5,5,3,6,5,4,3,3,2,6,4,3,4,2,6,4
"86",5,4,5,3,4,4,5,4,7,5,5,5,5,2,5,4,5,6,5,5,4,4,4,3,6,6,6,5,6,6,5,6,4,4,5,4,3,3,4,5,1,6,6,3,5,6,4,4,4,6,7,6,3,4,7,7,4,4,5,4,4,4,3,2,4,5,7,3,1,5,4,7,4
"87",5,5,6,4,6,6,3,6,6,6,4,6,5,3,6,5,6,5,6,3,5,4,6,4,4,6,5,4,5,6,5,6,6,4,5,5,3,4,5,6,2,4,6,6,5,6,3,5,6,5,4,7,5,6,5,6,2,5,6,4,6,3,3,3,2,3,6,5,3,6,2,6,4
"88",6,2,7,6,6,3,6,2,7,7,2,6,2,4,6,2,6,6,6,6,6,5,5,6,6,7,6,3,6,6,6,6,6,3,6,6,1,3,2,5,3,6,7,5,7,7,2,6,6,7,6,7,6,6,6,7,3,6,6,4,5,6,2,3,3,2,6,4,2,7,6,6,5
"89",1,1,3,6,5,1,4,6,5,4,1,7,6,1,7,2,5,3,6,2,2,5,4,2,5,3,5,2,4,4,5,5,6,3,3,4,1,1,3,3,5,5,3,1,5,5,2,6,3,6,5,5,3,5,7,7,1,5,5,1,6,7,2,1,1,3,2,2,1,1,1,5,5
